,burned_area
1371,0.0
33633,0.0
86763,0.0
67046,0.0
59184,8801005.0
149291,0.0
135582,0.0
134313,0.0
95012,0.0
153571,0.0
78015,7030071.0
171770,2522239.0
139716,0.0
2289,0.0
22726,0.0
145882,11108586.0
178244,53664.0
127305,0.0
12915,321988.0
170104,0.0
119185,4776155.0
50965,0.0
128394,36223652.0
170753,1663604.0
106571,9337652.0
11753,0.0
31519,0.0
177284,107329.0
65275,0.0
74588,0.0
127216,2307580.0
165195,0.0
32153,0.0
73575,0.0
165982,0.0
114518,0.0
179479,0.0
141489,0.0
35828,0.0
170845,11376909.0
132332,0.0
78450,3488203.0
116034,0.0
93183,0.0
105202,0.0
75291,1073293.0
162159,0.0
41931,0.0
179437,9122993.0
42265,0.0
104218,2844227.0
147822,53664.0
116267,858634.0
33865,0.0
39173,804970.0
27381,0.0
130359,1556275.0
134549,15026107.0
139279,0.0
134597,31447494.0
144185,97294046.0
54791,0.0
70431,0.0
16174,0.0
125584,8210694.0
179397,912299.0
94926,0.0
134071,10357279.0
154761,0.0
80443,0.0
139610,3649197.0
81864,0.0
98800,0.0
132611,0.0
90199,4293173.0
178436,1287952.0
181624,0.0
71573,0.0
10224,2146586.0
149168,3005220.0
178691,0.0
82313,2683233.0
23811,0.0
172606,0.0
149606,9230322.0
115180,0.0
54921,0.0
13195,0.0
121447,28978919.0
94299,3863855.0
181367,0.0
144914,0.0
73883,0.0
174972,0.0
171612,111461514.0
95407,0.0
21064,0.0
179706,0.0
148266,0.0
2542,1395281.0
42455,0.0
80584,0.0
127084,6117771.0
51438,0.0
4948,15670083.0
25423,0.0
66644,214657.0
124522,31179170.0
172333,0.0
123610,3756526.0
182825,0.0
140943,53342680.0
26689,0.0
31305,52537708.0
55291,0.0
81504,0.0
81805,0.0
181596,33594082.0
181909,1931927.0
48915,4883484.0
58255,0.0
33805,0.0
91813,12664861.0
86860,0.0
77593,3971185.0
94644,0.0
56213,0.0
89891,0.0
147597,1770934.0
49181,0.0
121828,0.0
178943,0.0
150917,0.0
166313,0.0
106447,0.0
142293,1448946.0
92145,0.0
145437,0.0
77138,0.0
61974,0.0
115674,5205472.0
70,0.0
97817,0.0
175524,0.0
36401,0.0
61814,0.0
18086,0.0
150978,0.0
148776,0.0
68454,0.0
150249,0.0
120313,0.0
58971,0.0
170070,0.0
129836,0.0
104386,0.0
120205,1663604.0
62248,2092922.0
36740,0.0
28312,0.0
112807,0.0
25586,0.0
59348,0.0
41779,0.0
116601,0.0
53742,0.0
39424,0.0
150639,6761748.0
86039,0.0
162472,9498645.0
90732,0.0
125558,9176658.0
58409,0.0
33886,0.0
116827,15938406.0
120868,0.0
77959,0.0
178170,0.0
44162,0.0
147819,0.0
121669,16904369.0
43986,0.0
169249,0.0
70541,0.0
30599,0.0
55720,0.0
88731,0.0
7283,0.0
121582,0.0
157409,0.0
29281,0.0
14948,0.0
132217,9176658.0
126858,0.0
55685,0.0
115367,0.0
14324,0.0
63626,28066622.0
15736,0.0
26388,0.0
123278,0.0
22538,0.0
96333,107329.0
57449,0.0
114663,0.0
48873,0.0
55062,0.0
105008,2468574.0
52751,0.0
179939,0.0
85665,0.0
162060,0.0
38971,0.0
101957,26134692.0
138745,3971185.0
4129,0.0
39493,0.0
71686,0.0
17425,0.0
172856,0.0
48250,0.0
35137,0.0
95061,0.0
35633,0.0
150733,8049700.0
130921,0.0
116358,53664.0
135648,0.0
162407,0.0
77547,0.0
14635,0.0
54147,0.0
121259,0.0
116653,0.0
162132,0.0
143530,0.0
84138,5581125.0
145896,0.0
106696,0.0
122130,13201507.0
158271,0.0
156396,0.0
161762,0.0
70522,0.0
155432,15240765.0
25653,0.0
63786,0.0
105968,4561496.0
33759,0.0
67566,0.0
150773,70891027.0
13199,0.0
122855,0.0
105120,8961999.0
131230,39443531.0
146469,0.0
20534,0.0
64409,0.0
171167,145645908.0
100476,0.0
89746,0.0
162626,1770933.0
105880,0.0
97399,0.0
146946,8425352.0
139970,0.0
105884,3166215.0
171590,0.0
183639,0.0
171107,0.0
41356,0.0
35619,1770933.0
175391,11645233.0
170803,0.0
54076,0.0
42196,0.0
47414,3273544.0
145434,0.0
26097,0.0
75789,0.0
149052,37028620.0
144183,24149100.0
137393,8854670.0
42426,0.0
85759,0.0
105378,0.0
64161,0.0
163565,28978920.0
167871,0.0
141995,4990814.0
58363,0.0
102369,160994.0
53601,0.0
35270,0.0
124304,0.0
158639,0.0
155822,0.0
49443,0.0
182092,0.0
157967,0.0
83078,0.0
159438,33594080.0
34552,0.0
171851,0.0
131864,643975.0
92873,804970.0
27060,0.0
24850,3380873.0
106997,0.0
102970,0.0
178446,0.0
119834,14221136.0
40119,0.0
152136,53181688.0
158915,0.0
